['Apr', 'Апрель', 'Apilaks tab. 10mg N50', 'APILAK', '11.21']
['Apr', 'Апрель', 'Kapsikama ziede 30g', 'KAPSIKAM', '31.03']
['Apr', 'Апрель', 'Kapsikama ziede 50g', 'KAPSIKAM', '49.51']
['Apr', 'Апрель', 'Ipigrix inj. 5mg/ml N10', 'IPIDAKRIN', '4.07']
['Apr', 'Апрель', 'Ipigrix inj. 15mg/ml N10', 'IPIDAKRIN', '16.71']
['Apr', 'Апрель', 'Ipigrix tab. 20mg N50', 'IPIDAKRIN', '27.44']
['Apr', 'Апрель', 'Mildronate GX tab. 500mg N60', 'MILDRONAT', '32.29']
['Apr', 'Апрель', 'Mildronāts kaps. 250mg N40 OTC', 'MILDRONAT', '73.91']
['Apr', 'Апрель', 'Mildronāts kaps. 500mg N60', 'MILDRONAT', '73.95']
['Apr', 'Апрель', 'Mildronāts inj. 10% 5ml N10', 'MILDRONAT', '70.72']
['Apr', 'Апрель', 'Mildronāts inj. 10% 5ml N20', 'MILDRONAT', '5.25']
['Apr', 'Апрель', 'Recreol 5% krēms 30g', 'RECREOL', '0.36']
['Apr', 'Апрель', 'Recreol 5% krēms 50g', 'RECREOL', '0.52']
['Apr', 'Апрель', 'Recreol 5% ziede 30g', 'RECREOL', '0.22']
['Apr', 'Апрель', 'Recreol 5% ziede 50g', 'RECREOL', '0.46']
['Apr', 'Апрель', 'Rispaxol tab. 2mg N20', 'RISPAXOL', '6.45']
['Apr', 'Апрель', 'Rispaxol tab. 2mg N60', 'RISPAXOL', '9.13']
['Apr', 'Апрель', 'Rispaxol tab. 4mg N60', 'RISPAXOL', '3.99']
['Apr', 'Апрель', 'Sulfargīns ziede 50g', 'SULFARGIN', '18.58']
['Apr', 'Апрель', 'Tingreks tab.10mg N30', 'MEMANTIN', '4.15']
['Apr', 'Апрель', 'Tingreks tab.10mg N60', 'MEMANTIN', '0.66']
['Apr', 'Апрель', 'Tingreks tab.10mg N90', 'MEMANTIN', '0.66']
['Apr', 'Апрель', 'Venlaxor tab. 37,5mg N30', 'VENLAXOR', '12.61']
['Apr', 'Апрель', 'Venlaxor tab. 75mg N30', 'VENLAXOR', '16.89']
['Apr', 'Апрель', 'Viprosāls B ziede 30g', 'VIPROSAL', '36.77']
['Apr', 'Апрель', 'Viprosāls B ziede 50g', 'VIPROSAL', '71.43']
['Apr', 'Апрель', 'Viprosāls B ziede 75g', 'VIPROSAL', '5.23']
['Aug', 'Август', 'Apilaks tab. 10mg N25', 'APILAK', '41.65']
['Aug', 'Август', 'Apilaks tab. 10mg N50', 'APILAK', '14.85']
['Aug', 'Август', 'Kapsikama ziede 30g', 'KAPSIKAM', '28.34']
['Aug', 'Август', 'Kapsikama ziede 50g', 'KAPSIKAM', '44.73']
['Aug', 'Август', 'Ipigrix inj. 5mg/ml N10', 'IPIDAKRIN', '5.87']
['Aug', 'Август', 'Ipigrix inj. 15mg/ml N10', 'IPIDAKRIN', '21.41']
['Aug', 'Август', 'Ipigrix tab. 20mg N50', 'IPIDAKRIN', '30.44']
['Aug', 'Август', 'Mildronate GX tab. 500mg N60', 'MILDRONAT', '36.01']
['Aug', 'Август', 'Mildronāts kaps. 250mg N40 OTC', 'MILDRONAT', '73.47']
['Aug', 'Август', 'Mildronāts kaps. 500mg N60', 'MILDRONAT', '75.75']
['Aug', 'Август', 'Mildronāts inj. 10% 5ml N10', 'MILDRONAT', '74.65']
['Aug', 'Август', 'Mildronāts inj. 10% 5ml N20', 'MILDRONAT', '9.21']
['Aug', 'Август', 'Recreol 5% krēms 30g', 'RECREOL', '0.42']
['Aug', 'Август', 'Recreol 5% krēms 50g', 'RECREOL', '0.32']
['Aug', 'Август', 'Recreol 5% ziede 30g', 'RECREOL', '0.06']
['Aug', 'Август', 'Recreol 5% ziede 50g', 'RECREOL', '0.14']
['Aug', 'Август', 'Rispaxol tab. 2mg N20', 'RISPAXOL', '6.61']
['Aug', 'Август', 'Rispaxol tab. 2mg N60', 'RISPAXOL', '11.11']
['Aug', 'Август', 'Rispaxol tab. 4mg N60', 'RISPAXOL', '4.65']
['Aug', 'Август', 'Sulfargīns ziede 50g', 'SULFARGIN', '23.57']
['Aug', 'Август', 'Tingreks tab.10mg N30', 'MEMANTIN', '5.45']
['Aug', 'Август', 'Tingreks tab.10mg N60', 'MEMANTIN', '1.81']
['Aug', 'Август', 'Tingreks tab.10mg N90', 'MEMANTIN', '0.88']
['Aug', 'Август', 'Venlaxor tab. 37,5mg N30', 'VENLAXOR', '12.03']
['Aug', 'Август', 'Venlaxor tab. 75mg N30', 'VENLAXOR', '20.26']
['Aug', 'Август', 'Viprosāls B ziede 30g', 'VIPROSAL', '43.63']
['Aug', 'Август', 'Viprosāls B ziede 50g', 'VIPROSAL', '61.33']
['Aug', 'Август', 'Viprosāls B ziede 75g', 'VIPROSAL', '7.08']
['Dec', 'Декабрь', 'Apilaks tab. 10mg N25', 'APILAK', '41.85']
['Dec', 'Декабрь', 'Apilaks tab. 10mg N50', 'APILAK', '14.05']
['Dec', 'Декабрь', 'Kapsikama ziede 30g', 'KAPSIKAM', '32.87']
['Dec', 'Декабрь', 'Kapsikama ziede 50g', 'KAPSIKAM', '55.21']
['Dec', 'Декабрь', 'Ipigrix inj. 5mg/ml N10', 'IPIDAKRIN', '4.91']
['Dec', 'Декабрь', 'Ipigrix inj. 15mg/ml N10', 'IPIDAKRIN', '18.28']
['Dec', 'Декабрь', 'Ipigrix tab. 20mg N50', 'IPIDAKRIN', '30.48']
['Dec', 'Декабрь', 'Mildronate GX tab. 500mg N60', 'MILDRONAT', '41.55']
['Dec', 'Декабрь', 'Mildronāts kaps. 250mg N40 OTC', 'MILDRONAT', '79.43']
['Dec', 'Декабрь', 'Mildronāts kaps. 500mg N60', 'MILDRONAT', '80.84']
['Dec', 'Декабрь', 'Mildronāts inj. 10% 5ml N10', 'MILDRONAT', '77.78']
['Dec', 'Декабрь', 'Mildronāts inj. 10% 5ml N20', 'MILDRONAT', '9.87']
['Dec', 'Декабрь', 'Recreol 5% krēms 30g', 'RECREOL', '0.72']
['Dec', 'Декабрь', 'Recreol 5% krēms 50g', 'RECREOL', '0.56']
['Dec', 'Декабрь', 'Recreol 5% ziede 30g', 'RECREOL', '0.16']
['Dec', 'Декабрь', 'Recreol 5% ziede 50g', 'RECREOL', '0.34']
['Dec', 'Декабрь', 'Rispaxol tab. 2mg N20', 'RISPAXOL', '7.44']
['Dec', 'Декабрь', 'Rispaxol tab. 2mg N60', 'RISPAXOL', '10.88']
['Dec', 'Декабрь', 'Rispaxol tab. 4mg N60', 'RISPAXOL', '4.27']
['Dec', 'Декабрь', 'Sulfargīns ziede 50g', 'SULFARGIN', '22.07']
['Dec', 'Декабрь', 'Tingreks tab.10mg N30', 'MEMANTIN', '5.13']
['Dec', 'Декабрь', 'Tingreks tab.10mg N60', 'MEMANTIN', '1.71']
['Dec', 'Декабрь', 'Tingreks tab.10mg N90', 'MEMANTIN', '0.8']
['Dec', 'Декабрь', 'Venlaxor tab. 37,5mg N30', 'VENLAXOR', '13.51']
['Dec', 'Декабрь', 'Venlaxor tab. 75mg N30', 'VENLAXOR', '22.85']
['Dec', 'Декабрь', 'Viprosāls B ziede 30g', 'VIPROSAL', '40.74']
['Dec', 'Декабрь', 'Viprosāls B ziede 50g', 'VIPROSAL', '65.75']
['Dec', 'Декабрь', 'Viprosāls B ziede 75g', 'VIPROSAL', '11.45']
['Feb', 'Февраль', 'Apilaks tab. 10mg N25', 'APILAK', '46.41']
['Feb', 'Февраль', 'Apilaks tab. 10mg N50', 'APILAK', '13.53']
['Feb', 'Февраль', 'Kapsikama ziede 30g', 'KAPSIKAM', '32.33']
['Feb', 'Февраль', 'Kapsikama ziede 50g', 'KAPSIKAM', '54.17']
['Feb', 'Февраль', 'Ipigrix inj. 5mg/ml N10', 'IPIDAKRIN', '7.3']
['Feb', 'Февраль', 'Ipigrix inj. 15mg/ml N10', 'IPIDAKRIN', '20.44']
['Feb', 'Февраль', 'Ipigrix tab. 20mg N50', 'IPIDAKRIN', '28.36']
['Feb', 'Февраль', 'Mildronate GX tab. 500mg N60', 'MILDRONAT', '35.93']
['Feb', 'Февраль', 'Mildronāts kaps. 250mg N40 OTC', 'MILDRONAT', '73.37']
['Feb', 'Февраль', 'Mildronāts kaps. 500mg N60', 'MILDRONAT', '75.69']
['Feb', 'Февраль', 'Mildronāts inj. 10% 5ml N10', 'MILDRONAT', '78.84']
['Feb', 'Февраль', 'Mildronāts inj. 10% 5ml N20', 'MILDRONAT', '6.97']
['Feb', 'Февраль', 'Recreol 5% krēms 30g', 'RECREOL', '0.42']
['Feb', 'Февраль', 'Recreol 5% krēms 50g', 'RECREOL', '0.44']
['Feb', 'Февраль', 'Recreol 5% ziede 30g', 'RECREOL', '0.2']
['Feb', 'Февраль', 'Recreol 5% ziede 50g', 'RECREOL', '0.26']
['Feb', 'Февраль', 'Rispaxol tab. 2mg N20', 'RISPAXOL', '7.44']
['Feb', 'Февраль', 'Rispaxol tab. 2mg N60', 'RISPAXOL', '8.32']
['Feb', 'Февраль', 'Rispaxol tab. 4mg N60', 'RISPAXOL', '3.65']
['Feb', 'Февраль', 'Sulfargīns ziede 50g', 'SULFARGIN', '20.76']
['Feb', 'Февраль', 'Tingreks tab.10mg N30', 'MEMANTIN', '5.21']
['Feb', 'Февраль', 'Tingreks tab.10mg N60', 'MEMANTIN', '0.74']
['Feb', 'Февраль', 'Tingreks tab.10mg N90', 'MEMANTIN', '0.88']
['Feb', 'Февраль', 'Venlaxor tab. 37,5mg N30', 'VENLAXOR', '12.51']
['Feb', 'Февраль', 'Venlaxor tab. 75mg N30', 'VENLAXOR', '18.64']
['Feb', 'Февраль', 'Viprosāls B ziede 30g', 'VIPROSAL', '32.75']
['Feb', 'Февраль', 'Viprosāls B ziede 50g', 'VIPROSAL', '69.25']
['Feb', 'Февраль', 'Viprosāls B ziede 75g', 'VIPROSAL', '4.37']
['Jan', 'Январь', 'Apilaks tab. 10mg N25', 'APILAK', '47.62']
['Jan', 'Январь', 'Apilaks tab. 10mg N50', 'APILAK', '16.35']
['Jan', 'Январь', 'Kapsikama ziede 30g', 'KAPSIKAM', '37.24']
['Jan', 'Январь', 'Kapsikama ziede 50g', 'KAPSIKAM', '56.55']
['Jan', 'Январь', 'Ipigrix inj. 5mg/ml N10', 'IPIDAKRIN', '8.04']
['Jan', 'Январь', 'Ipigrix inj. 15mg/ml N10', 'IPIDAKRIN', '21.95']
['Jan', 'Январь', 'Ipigrix tab. 20mg N50', 'IPIDAKRIN', '30.56']
['Jan', 'Январь', 'Mildronate GX tab. 500mg N60', 'MILDRONAT', '33.63']
['Jan', 'Январь', 'Mildronāts kaps. 250mg N40 OTC', 'MILDRONAT', '72.83']
['Jan', 'Январь', 'Mildronāts kaps. 500mg N60', 'MILDRONAT', '75.65']
['Jan', 'Январь', 'Mildronāts inj. 10% 5ml N10', 'MILDRONAT', '76.63']
['Jan', 'Январь', 'Mildronāts inj. 10% 5ml N20', 'MILDRONAT', '9.65']
['Jan', 'Январь', 'Recreol 5% krēms 30g', 'RECREOL', '0.34']
['Jan', 'Январь', 'Recreol 5% krēms 50g', 'RECREOL', '0.4']
['Jan', 'Январь', 'Recreol 5% ziede 30g', 'RECREOL', '0.2']
['Jan', 'Январь', 'Recreol 5% ziede 50g', 'RECREOL', '0.72']
['Jan', 'Январь', 'Rispaxol tab. 2mg N20', 'RISPAXOL', '7.78']
['Jan', 'Январь', 'Rispaxol tab. 2mg N60', 'RISPAXOL', '8.96']
['Jan', 'Январь', 'Rispaxol tab. 4mg N60', 'RISPAXOL', '3.93']
['Jan', 'Январь', 'Sulfargīns ziede 50g', 'SULFARGIN', '24.25']
['Jan', 'Январь', 'Tingreks tab.10mg N30', 'MEMANTIN', '5.51']
['Jan', 'Январь', 'Tingreks tab.10mg N60', 'MEMANTIN', '1.21']
['Jan', 'Январь', 'Tingreks tab.10mg N90', 'MEMANTIN', '1.09']
['Jan', 'Январь', 'Venlaxor tab. 37,5mg N30', 'VENLAXOR', '13.01']
['Jan', 'Январь', 'Venlaxor tab. 75mg N30', 'VENLAXOR', '19.11']
['Jan', 'Январь', 'Viprosāls B ziede 30g', 'VIPROSAL', '36.45']
['Jan', 'Январь', 'Viprosāls B ziede 50g', 'VIPROSAL', '72.03']
['Jan', 'Январь', 'Viprosāls B ziede 75g', 'VIPROSAL', '3.25']
['Jul', 'Июль', 'Apilaks tab. 10mg N25', 'APILAK', '44.15']
['Jul', 'Июль', 'Apilaks tab. 10mg N50', 'APILAK', '12.35']
['Jul', 'Июль', 'Kapsikama ziede 30g', 'KAPSIKAM', '29.09']
['Jul', 'Июль', 'Kapsikama ziede 50g', 'KAPSIKAM', '44.49']
['Jul', 'Июль', 'Ipigrix inj. 5mg/ml N10', 'IPIDAKRIN', '4.43']
['Jul', 'Июль', 'Ipigrix inj. 15mg/ml N10', 'IPIDAKRIN', '19.25']
['Jul', 'Июль', 'Ipigrix tab. 20mg N50', 'IPIDAKRIN', '30.76']
['Jul', 'Июль', 'Mildronate GX tab. 500mg N60', 'MILDRONAT', '32.61']
['Jul', 'Июль', 'Mildronāts kaps. 250mg N40 OTC', 'MILDRONAT', '73.11']
['Jul', 'Июль', 'Mildronāts kaps. 500mg N60', 'MILDRONAT', '73.71']
['Jul', 'Июль', 'Mildronāts inj. 10% 5ml N10', 'MILDRONAT', '75.03']
['Jul', 'Июль', 'Mildronāts inj. 10% 5ml N20', 'MILDRONAT', '7.7']
['Jul', 'Июль', 'Recreol 5% krēms 30g', 'RECREOL', '0.96']
['Jul', 'Июль', 'Recreol 5% krēms 50g', 'RECREOL', '0.96']
['Jul', 'Июль', 'Recreol 5% ziede 30g', 'RECREOL', '0.34']
['Jul', 'Июль', 'Recreol 5% ziede 50g', 'RECREOL', '0.88']
['Jul', 'Июль', 'Rispaxol tab. 2mg N20', 'RISPAXOL', '6.51']
['Jul', 'Июль', 'Rispaxol tab. 2mg N60', 'RISPAXOL', '10.98']
['Jul', 'Июль', 'Rispaxol tab. 4mg N60', 'RISPAXOL', '2.67']
['Jul', 'Июль', 'Sulfargīns ziede 50g', 'SULFARGIN', '23.77']
['Jul', 'Июль', 'Tingreks tab.10mg N30', 'MEMANTIN', '5.21']
['Jul', 'Июль', 'Tingreks tab.10mg N60', 'MEMANTIN', '1.25']
['Jul', 'Июль', 'Tingreks tab.10mg N90', 'MEMANTIN', '1.03']
['Jul', 'Июль', 'Venlaxor tab. 37,5mg N30', 'VENLAXOR', '11.69']
